"word","file","word_id"
"比較","stimuli/324.wav","324"
"到","stimuli/328.wav","328"
"遠","stimuli/276.wav","276"
"感覺","stimuli/295.wav","295"
"會","stimuli/270.wav","270"
"發","stimuli/132.wav","132"
"年","stimuli/428.wav","428"
"新","stimuli/357.wav","357"
"啊","stimuli/297.wav","297"
"個","stimuli/261.wav","261"
"還","stimuli/49.wav","49"
"他","stimuli/264.wav","264"
"我們","stimuli/214.wav","214"
"也","stimuli/105.wav","105"
"吃","stimuli/153.wav","153"
"的","stimuli/335.wav","335"
"次","stimuli/234.wav","234"
"一些","stimuli/496.wav","496"
"想","stimuli/392.wav","392"
"去","stimuli/450.wav","450"
"個","stimuli/487.wav","487"
"啊","stimuli/246.wav","246"
"集","stimuli/444.wav","444"
"是","stimuli/198.wav","198"
"要","stimuli/314.wav","314"
"那","stimuli/227.wav","227"
"也","stimuli/415.wav","415"
"讓","stimuli/291.wav","291"
"你","stimuli/238.wav","238"
"一樣","stimuli/259.wav","259"
"看","stimuli/484.wav","484"
"覺得","stimuli/218.wav","218"
"你","stimuli/229.wav","229"
"這樣","stimuli/460.wav","460"
"一點","stimuli/216.wav","216"
"尤其","stimuli/304.wav","304"
"那","stimuli/116.wav","116"
"還是","stimuli/368.wav","368"
"可以","stimuli/471.wav","471"
"這樣","stimuli/248.wav","248"
"比較","stimuli/217.wav","217"
"以前","stimuli/23.wav","23"
"朋友","stimuli/203.wav","203"
"這樣","stimuli/65.wav","65"
"是","stimuli/377.wav","377"
"常常","stimuli/401.wav","401"
"然後","stimuli/69.wav","69"
"我","stimuli/86.wav","86"
"啊","stimuli/112.wav","112"
"我","stimuli/345.wav","345"
"跟","stimuli/56.wav","56"
"就","stimuli/57.wav","57"
"我","stimuli/373.wav","373"
"的","stimuli/130.wav","130"
"的","stimuli/173.wav","173"
"反正","stimuli/143.wav","143"
"差","stimuli/109.wav","109"
"有","stimuli/77.wav","77"
"他","stimuli/418.wav","418"
"好玩","stimuli/448.wav","448"
"那","stimuli/470.wav","470"
"很","stimuli/486.wav","486"
"人","stimuli/230.wav","230"
"那麼","stimuli/397.wav","397"
"好","stimuli/258.wav","258"
"對","stimuli/359.wav","359"
"或","stimuli/76.wav","76"
"都","stimuli/251.wav","251"
"菠菜","stimuli/107.wav","107"
"常常","stimuli/365.wav","365"
"我","stimuli/122.wav","122"
"就是","stimuli/55.wav","55"
"糟糕","stimuli/267.wav","267"
"找","stimuli/196.wav","196"
"都","stimuli/245.wav","245"
"覺得","stimuli/78.wav","78"
"唸佛","stimuli/500.wav","500"
"個","stimuli/416.wav","416"
"很多","stimuli/68.wav","68"
"我","stimuli/211.wav","211"
"要","stimuli/200.wav","200"
"分","stimuli/146.wav","146"
"那","stimuli/87.wav","87"
"了","stimuli/166.wav","166"
"他","stimuli/438.wav","438"
"有","stimuli/81.wav","81"
"沒有","stimuli/187.wav","187"
"要","stimuli/209.wav","209"
"的","stimuli/42.wav","42"
"大","stimuli/158.wav","158"
"對","stimuli/494.wav","494"
"我","stimuli/451.wav","451"
"然後","stimuli/11.wav","11"
"私立","stimuli/106.wav","106"
"好像","stimuli/151.wav","151"
"hoN","stimuli/247.wav","247"
"裡面","stimuli/66.wav","66"
"一直","stimuli/400.wav","400"
"十四","stimuli/237.wav","237"
"我們","stimuli/495.wav","495"
"一","stimuli/190.wav","190"
"mm","stimuli/148.wav","148"
"那","stimuli/89.wav","89"
"講話","stimuli/283.wav","283"
"唸","stimuli/326.wav","326"
"是","stimuli/374.wav","374"
"有","stimuli/395.wav","395"
"自己","stimuli/427.wav","427"
"不","stimuli/206.wav","206"
"反對","stimuli/61.wav","61"
"對","stimuli/420.wav","420"
