3.7300 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.2846 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.0700 	EXP 	window1: blendMode = 'avg'
21.0870 	EXP 	window1: blendMode = 'avg'
21.1039 	EXP 	window1: blendMode = 'avg'
21.1209 	EXP 	window1: blendMode = 'avg'
21.1378 	EXP 	window1: blendMode = 'avg'
21.1547 	EXP 	window1: blendMode = 'avg'
21.1717 	EXP 	window1: blendMode = 'avg'
21.1887 	EXP 	window1: blendMode = 'avg'
21.2056 	EXP 	window1: blendMode = 'avg'
21.2226 	EXP 	window1: blendMode = 'avg'
21.2395 	EXP 	window1: blendMode = 'avg'
21.2566 	EXP 	window1: blendMode = 'avg'
21.2740 	EXP 	window1: blendMode = 'avg'
21.2906 	EXP 	window1: blendMode = 'avg'
21.3073 	EXP 	window1: blendMode = 'avg'
21.3242 	EXP 	window1: blendMode = 'avg'
21.3413 	EXP 	window1: blendMode = 'avg'
21.3585 	EXP 	window1: blendMode = 'avg'
21.3752 	EXP 	window1: blendMode = 'avg'
21.3921 	EXP 	window1: blendMode = 'avg'
21.4090 	EXP 	window1: blendMode = 'avg'
21.4260 	EXP 	window1: blendMode = 'avg'
21.4432 	EXP 	window1: blendMode = 'avg'
21.4599 	EXP 	window1: blendMode = 'avg'
21.4768 	EXP 	window1: blendMode = 'avg'
21.4938 	EXP 	window1: blendMode = 'avg'
21.5107 	EXP 	window1: blendMode = 'avg'
21.5276 	EXP 	window1: blendMode = 'avg'
21.5446 	EXP 	window1: blendMode = 'avg'
21.5619 	EXP 	window1: blendMode = 'avg'
21.5785 	EXP 	window1: blendMode = 'avg'
21.5955 	EXP 	window1: blendMode = 'avg'
21.6124 	EXP 	window1: blendMode = 'avg'
21.6293 	EXP 	window1: blendMode = 'avg'
21.6463 	EXP 	window1: blendMode = 'avg'
21.6632 	EXP 	window1: blendMode = 'avg'
21.6802 	EXP 	window1: blendMode = 'avg'
21.6971 	EXP 	window1: blendMode = 'avg'
21.7141 	EXP 	window1: blendMode = 'avg'
21.7310 	EXP 	window1: blendMode = 'avg'
21.7480 	EXP 	window1: blendMode = 'avg'
21.7653 	EXP 	window1: blendMode = 'avg'
21.7820 	EXP 	window1: blendMode = 'avg'
21.7989 	EXP 	window1: blendMode = 'avg'
21.8158 	EXP 	window1: blendMode = 'avg'
21.8328 	EXP 	window1: blendMode = 'avg'
21.8497 	EXP 	window1: blendMode = 'avg'
21.8667 	EXP 	window1: blendMode = 'avg'
21.8836 	EXP 	window1: blendMode = 'avg'
21.9006 	EXP 	window1: blendMode = 'avg'
21.9177 	EXP 	window1: blendMode = 'avg'
21.9344 	EXP 	window1: blendMode = 'avg'
21.9514 	EXP 	window1: blendMode = 'avg'
21.9683 	EXP 	window1: blendMode = 'avg'
21.9853 	EXP 	window1: blendMode = 'avg'
22.0022 	EXP 	window1: blendMode = 'avg'
22.0192 	EXP 	window1: blendMode = 'avg'
22.0361 	EXP 	window1: blendMode = 'avg'
22.0531 	EXP 	window1: blendMode = 'avg'
22.0701 	EXP 	window1: blendMode = 'avg'
22.0870 	EXP 	window1: blendMode = 'avg'
22.1039 	EXP 	window1: blendMode = 'avg'
22.1208 	EXP 	window1: blendMode = 'avg'
22.1378 	EXP 	window1: blendMode = 'avg'
22.1547 	EXP 	window1: blendMode = 'avg'
22.1717 	EXP 	window1: blendMode = 'avg'
22.1887 	EXP 	window1: blendMode = 'avg'
22.2058 	EXP 	window1: blendMode = 'avg'
22.2225 	EXP 	window1: blendMode = 'avg'
22.2398 	EXP 	window1: blendMode = 'avg'
22.2565 	EXP 	window1: blendMode = 'avg'
22.2736 	EXP 	window1: blendMode = 'avg'
22.2904 	EXP 	window1: blendMode = 'avg'
22.3073 	EXP 	window1: blendMode = 'avg'
22.3243 	EXP 	window1: blendMode = 'avg'
22.3412 	EXP 	window1: blendMode = 'avg'
22.3584 	EXP 	window1: blendMode = 'avg'
22.3752 	EXP 	window1: blendMode = 'avg'
22.3921 	EXP 	window1: blendMode = 'avg'
22.4093 	EXP 	window1: blendMode = 'avg'
22.4260 	EXP 	window1: blendMode = 'avg'
22.4429 	EXP 	window1: blendMode = 'avg'
22.4599 	EXP 	window1: blendMode = 'avg'
22.4768 	EXP 	window1: blendMode = 'avg'
22.4938 	EXP 	window1: blendMode = 'avg'
22.5107 	EXP 	window1: blendMode = 'avg'
22.5278 	EXP 	window1: blendMode = 'avg'
22.5446 	EXP 	window1: blendMode = 'avg'
22.5620 	EXP 	window1: blendMode = 'avg'
22.5786 	EXP 	window1: blendMode = 'avg'
22.5955 	EXP 	window1: blendMode = 'avg'
22.6124 	EXP 	window1: blendMode = 'avg'
22.6294 	EXP 	window1: blendMode = 'avg'
22.6463 	EXP 	window1: blendMode = 'avg'
22.6633 	EXP 	window1: blendMode = 'avg'
22.6802 	EXP 	window1: blendMode = 'avg'
22.6972 	EXP 	window1: blendMode = 'avg'
22.7141 	EXP 	window1: blendMode = 'avg'
22.7313 	EXP 	window1: blendMode = 'avg'
22.7480 	EXP 	window1: blendMode = 'avg'
22.7650 	EXP 	window1: blendMode = 'avg'
22.7819 	EXP 	window1: blendMode = 'avg'
22.7989 	EXP 	window1: blendMode = 'avg'
22.8158 	EXP 	window1: blendMode = 'avg'
22.8328 	EXP 	window1: blendMode = 'avg'
22.8498 	EXP 	window1: blendMode = 'avg'
22.8667 	EXP 	window1: blendMode = 'avg'
22.8837 	EXP 	window1: blendMode = 'avg'
22.9006 	EXP 	window1: blendMode = 'avg'
22.9175 	EXP 	window1: blendMode = 'avg'
22.9344 	EXP 	window1: blendMode = 'avg'
